instance,backend,jobs,machines,operations,solver,pb_encoding_used,vars,clauses,solve_time,time_first_sat,time_latest_sat,time_unsat,UB,horizon_mode,makespan,optimal,best_bound,gap,status
JSPPR_1_10x4.txt,cplex_cp,10,4,40,cplex-cp,,128,153,9.661628697998822,5.072417893999955,9.657510701013962,,897,heuristic,609,True,609.0,0.0,OK
JSPPR_1_4x4.txt,cplex_cp,4,4,16,cplex-cp,,53,66,5.057027076982195,5.055127009982243,5.055127009982243,,300,heuristic,300,True,300.0,0.0,OK
JSPPR_1_5x4.txt,cplex_cp,5,4,20,cplex-cp,,66,81,5.024558254983276,5.022344928991515,5.022344928991515,,344,heuristic,344,True,344.0,0.0,OK
JSPPR_1_6x4.txt,cplex_cp,6,4,24,cplex-cp,,79,96,5.065549091988942,5.0619209250144195,5.063166631007334,,456,heuristic,436,True,436.0,0.0,OK
JSPPR_1_7x4.txt,cplex_cp,7,4,28,cplex-cp,,90,109,5.319047462980961,5.0701104769832455,5.170234311983222,,541,heuristic,456,True,456.0,0.0,OK
JSPPR_1_8x4.txt,cplex_cp,8,4,32,cplex-cp,,103,124,5.579387710022274,5.06504704800318,5.576031889009755,,589,heuristic,485,True,485.0,0.0,OK
JSPPR_1_9x4.txt,cplex_cp,9,4,36,cplex-cp,,114,137,13.460318885016022,5.073093601007713,12.232685919996584,,742,heuristic,602,True,602.0,0.0,OK
JSPPR_2_10x4.txt,cplex_cp,10,4,40,cplex-cp,,125,150,7.324486739002168,5.067056060011964,7.32137059699744,,945,heuristic,647,True,647.0,0.0,OK
JSPPR_2_4x4.txt,cplex_cp,4,4,16,cplex-cp,,52,65,5.115591048001079,5.063867489981931,5.063867489981931,,475,heuristic,475,True,475.0,0.0,OK
JSPPR_2_5x4.txt,cplex_cp,5,4,20,cplex-cp,,64,79,5.1165201569965575,5.0647521580103785,5.0647521580103785,,459,heuristic,447,True,447.0,0.0,OK
JSPPR_2_6x4.txt,cplex_cp,6,4,24,cplex-cp,,77,94,5.954038405005122,5.068326592008816,5.11032070001238,,583,heuristic,521,True,521.0,0.0,OK
JSPPR_2_7x4.txt,cplex_cp,7,4,28,cplex-cp,,87,106,5.16264898100053,5.06163928299793,5.081111006991705,,545,heuristic,478,True,478.0,0.0,OK
JSPPR_2_8x4.txt,cplex_cp,8,4,32,cplex-cp,,101,122,7.091799215995707,5.063284530013334,5.5446824849932455,,689,heuristic,579,True,579.0,0.0,OK
JSPPR_2_9x4.txt,cplex_cp,9,4,36,cplex-cp,,111,134,16.60365023801569,5.068851884017931,15.573144014022546,,745,heuristic,643,True,643.0,0.0,OK
JSPPR_3_10x4.txt,cplex_cp,10,4,40,cplex-cp,,126,151,5.286200447008014,5.065697115001967,5.282085738988826,,711,heuristic,588,True,588.0,0.0,OK
JSPPR_3_4x4.txt,cplex_cp,4,4,16,cplex-cp,,55,68,5.090132240991807,5.0506664319837,5.0506664319837,,352,heuristic,343,True,343.0,0.0,OK
JSPPR_3_5x4.txt,cplex_cp,5,4,20,cplex-cp,,68,83,5.15250714198919,5.06356932898052,5.106290222989628,,499,heuristic,423,True,423.0,0.0,OK
JSPPR_3_6x4.txt,cplex_cp,6,4,24,cplex-cp,,78,95,5.51,5.337655239241548,5.346814023089444,,516,heuristic,479,True,479.0,0.0,OK
JSPPR_3_7x4.txt,cplex_cp,7,4,28,cplex-cp,,90,109,5.772702234971803,5.066382185992552,5.769849141972372,,594,heuristic,512,True,512.0,0.0,OK
JSPPR_3_8x4.txt,cplex_cp,8,4,32,cplex-cp,,102,123,5.878255406016251,5.068656529998407,5.160246037994511,,592,heuristic,528,True,528.0,0.0,OK
JSPPR_3_9x4.txt,cplex_cp,9,4,36,cplex-cp,,113,136,8.39559118298348,5.068153466010699,7.427246368984925,,703,heuristic,581,True,581.0,0.0,OK
JSPPR_4_10x4.txt,cplex_cp,10,4,40,cplex-cp,,134,159,23.289916484005516,5.076384944986785,10.482443654997041,,1995,heuristic,657,True,657.0,0.0,OK
JSPPR_4_4x4.txt,cplex_cp,4,4,16,cplex-cp,,51,64,5.023330044990871,5.021106953994604,5.021106953994604,,297,heuristic,297,True,297.0,0.0,OK
JSPPR_4_5x4.txt,cplex_cp,5,4,20,cplex-cp,,63,78,5.158748736983398,5.061648514994886,5.070312818977982,,362,heuristic,332,True,332.0,0.0,OK
JSPPR_4_6x4.txt,cplex_cp,6,4,24,cplex-cp,,74,91,5.686858269997174,5.074690034001833,5.244497818988748,,431,heuristic,418,True,418.0,0.0,OK
