instance,backend,jobs,machines,operations,solver,pb_encoding_used,vars,clauses,solve_time,time_first_sat,time_latest_sat,time_unsat,UB,horizon_mode,makespan,optimal,best_bound,gap,status
JSPPR_1_10x4.txt,cplex_mip,10,4,40,cplex-mip,,14274,21196,3606.065976,5.0,3566.195496,,897,heuristic,821,False,455.0,0.445797808,OK
JSPPR_1_4x4.txt,cplex_mip,4,4,16,cplex-mip,,1926,2808,6.609742813,5.0,5.0,,300,heuristic,300,True,300.0,0.0,OK
JSPPR_1_5x4.txt,cplex_mip,5,4,20,cplex-mip,,3282,4819,5.150542745,5.0,5.0,,344,heuristic,344,True,344.0,0.0,OK
JSPPR_1_6x4.txt,cplex_mip,6,4,24,cplex-mip,,5174,7629,3605.147296,5.0,3496.949097,,456,heuristic,436,False,395.5,0.092889908,OK
JSPPR_1_7x4.txt,cplex_mip,7,4,28,cplex-mip,,6726,9935,3606.252722,5.0,3371.87868,,541,heuristic,456,False,447.0,0.019736842,OK
JSPPR_1_8x4.txt,cplex_mip,8,4,32,cplex-mip,,9054,13404,3605.137775,5.0,3469.752163,,589,heuristic,508,False,406.0,0.200787402,OK
JSPPR_1_9x4.txt,cplex_mip,9,4,36,cplex-mip,,11176,16572,3605.20698,5.0,3415.391391,,742,heuristic,738,False,425.0,0.424119241,OK
JSPPR_2_10x4.txt,cplex_mip,10,4,40,cplex-mip,,13384,19881,3610.668516,5.0,3452.203366,,945,heuristic,833,False,469.85,0.435954382,OK
JSPPR_2_4x4.txt,cplex_mip,4,4,16,cplex-mip,,2068,3025,3606.758715,5.0,5.0,,475,heuristic,475,False,429.0,0.096842105,OK
JSPPR_2_5x4.txt,cplex_mip,5,4,20,cplex-mip,,3168,4660,182.0667773,5.0,31.88163781,,459,heuristic,447,True,447.0,0.0,OK
JSPPR_2_6x4.txt,cplex_mip,6,4,24,cplex-mip,,4832,7134,3605.215271,5.0,3605.030015,,583,heuristic,532,False,405.4719228,0.237834732,OK
JSPPR_2_7x4.txt,cplex_mip,7,4,28,cplex-mip,,6106,9024,3605.09201,5.0,686.2791518,,545,heuristic,478,False,437.0,0.085774059,OK
JSPPR_2_8x4.txt,cplex_mip,8,4,32,cplex-mip,,8488,12574,3605.210289,5.0,3417.577337,,689,heuristic,656,False,432.0,0.341463415,OK
JSPPR_2_9x4.txt,cplex_mip,9,4,36,cplex-mip,,10298,15275,3609.020999,5.0,3342.802741,,745,heuristic,740,False,446.0,0.397297297,OK
JSPPR_3_10x4.txt,cplex_mip,10,4,40,cplex-mip,,13642,20255,3605.160694,5.0,5.0,,711,heuristic,711,False,379.8673535,0.465728054,OK
JSPPR_3_4x4.txt,cplex_mip,4,4,16,cplex-mip,,2262,3308,32.34803197,5.0,11.132766733,,352,heuristic,343,True,343.0,0.0,OK
JSPPR_3_5x4.txt,cplex_mip,5,4,20,cplex-mip,,3808,5600,3605.190645,5.0,3474.434889,,499,heuristic,449,False,351.0,0.218262806,OK
JSPPR_3_6x4.txt,cplex_mip,6,4,24,cplex-mip,,5050,7449,3605.6,5.0,708.9845892,,516,heuristic,497,False,418.0,0.158953722334004,OK
JSPPR_3_7x4.txt,cplex_mip,7,4,28,cplex-mip,,6712,9919,3605.123405,5.0,3319.718573,,594,heuristic,528,False,414.6120556,0.214749895,OK
JSPPR_3_8x4.txt,cplex_mip,8,4,32,cplex-mip,,8784,13005,3606.704117,5.0,3499.023803,,592,heuristic,571,False,413.0,0.276707531,OK
JSPPR_3_9x4.txt,cplex_mip,9,4,36,cplex-mip,,10980,16277,3610.097021,5.0,3313.622356,,703,heuristic,699,False,395.7470588,0.433838256,OK
JSPPR_4_10x4.txt,cplex_mip,10,4,40,cplex-mip,,16444,24478,3611.0487,5.0,369.5029761,,1995,heuristic,1963,False,405.0,0.793683138,OK
JSPPR_4_4x4.txt,cplex_mip,4,4,16,cplex-mip,,1736,2550,5.055797931,5.0,5.0,,297,heuristic,297,True,297.0,0.0,OK
JSPPR_4_5x4.txt,cplex_mip,5,4,20,cplex-mip,,3012,4440,3605.112564,5.0,3486.613258,,362,heuristic,332,False,318.0,0.042168675,OK
JSPPR_4_6x4.txt,cplex_mip,6,4,24,cplex-mip,,4366,6450,3605.130732,5.0,5.0,,431,heuristic,431,False,323.0,0.250580046,OK
JSPPR_4_7x4.txt,cplex_mip,7,4,28,cplex-mip,,5856,8662,3605.04649,5.0,3313.680575,,482,heuristic,395,False,394.0,0.002531646,OK
JSPPR_4_8x4.txt,cplex_mip,8,4,32,cplex-mip,,8038,11913,3605.55802,5.0,3311.30774,,613,heuristic,588,False,355.7684211,0.394951665,OK
JSPPR_4_9x4.txt,cplex_mip,9,4,36,cplex-mip,,10170,15090,3605.442283,5.0,3338.212028,,743,heuristic,726,False,399.1097561,0.450262044,OK
JSPPR_5_10x4.txt,cplex_mip,10,4,40,cplex-mip,,13850,20560,3605.179376,5.0,3575.731361,,665,heuristic,617,False,394.0,0.361426256,OK
JSPPR_5_4x4.txt,cplex_mip,4,4,16,cplex-mip,,1978,2888,5.072014438,5.0,5.0,,318,heuristic,318,True,318.0,0.0,OK
JSPPR_5_5x4.txt,cplex_mip,5,4,20,cplex-mip,,3266,4798,3605.095982,5.0,5.0,,350,heuristic,350,False,347.0,0.008571429,OK
JSPPR_5_6x4.txt,cplex_mip,6,4,24,cplex-mip,,5242,7731,3605.190285,5.0,5.0,,485,heuristic,485,False,369.0,0.239175258,OK
JSPPR_5_7x4.txt,cplex_mip,7,4,28,cplex-mip,,6498,9599,3605.101047,5.0,3379.390889,,490,heuristic,453,False,393.0,0.132450331,OK
JSPPR_5_8x4.txt,cplex_mip,8,4,32,cplex-mip,,8866,13128,3605.644376,5.0,3562.797169,,608,heuristic,514,False,336.0,0.346303502,OK
JSPPR_5_9x4.txt,cplex_mip,9,4,36,cplex-mip,,10924,16193,3605.948191,5.0,3438.488185,,619,heuristic,593,False,389.6941387,0.342842936,OK
