instance,backend,jobs,machines,operations,solver,pb_encoding_used,vars,clauses,solve_time,time_first_sat,time_latest_sat,time_unsat,UB,horizon_mode,makespan,optimal,best_bound,gap,status
JSPPR_1_10x4.txt,gurobi,10,4,40,gurobi-mip,,14274,21196,3605.305315368998,5.30567646700365,3605.224766148007,,897,heuristic,809,False,462.0,0.4289245982694685,OK
JSPPR_1_4x4.txt,gurobi,4,4,16,gurobi-mip,,1926,2808,5.936660936000408,5.822985277998669,5.935333806999552,,300,heuristic,300,True,300.0,0.0,OK
JSPPR_1_5x4.txt,gurobi,5,4,20,gurobi-mip,,3282,4819,5.174646578001557,5.0647898859970155,5.0650384399996256,,344,heuristic,344,True,344.0,0.0,OK
JSPPR_1_6x4.txt,gurobi,6,4,24,gurobi-mip,,5174,7629,3605.5315544069963,5.101938125000743,3605.076661512001,,456,heuristic,452,False,417.0,0.07743362831858407,OK
JSPPR_1_7x4.txt,gurobi,7,4,28,gurobi-mip,,6726,9935,949.7156219509925,5.141009416998713,949.6906396159902,,541,heuristic,456,True,456.0,0.0,OK
JSPPR_1_8x4.txt,gurobi,8,4,32,gurobi-mip,,9054,13404,3605.1612152830057,5.18763488100376,3605.1377296370047,,589,heuristic,491,False,456.0,0.07128309572301425,OK
JSPPR_1_9x4.txt,gurobi,9,4,36,gurobi-mip,,11176,16572,3605.4362595540006,5.241474162001396,3605.1791837130004,,742,heuristic,708,False,476.0,0.327683615819209,OK
JSPPR_2_10x4.txt,gurobi,10,4,40,gurobi-mip,,13384,19881,3605.354610355993,5.290546168995206,3605.211815717994,,945,heuristic,808,False,497.0,0.3849009900990099,OK
JSPPR_2_4x4.txt,gurobi,4,4,16,gurobi-mip,,2068,3025,45.446616501998506,5.040560117995483,5.040750426000159,,475,heuristic,475,True,475.0,0.0,OK
JSPPR_2_5x4.txt,gurobi,5,4,20,gurobi-mip,,3168,4660,16.65028587499546,5.069373406993691,5.069622185998014,,459,heuristic,447,True,447.0,0.0,OK
JSPPR_2_6x4.txt,gurobi,6,4,24,gurobi-mip,,4832,7134,3605.685887821004,5.095986152002297,3605.0747334219996,,583,heuristic,547,False,452.0,0.1736745886654479,OK
JSPPR_2_7x4.txt,gurobi,7,4,28,gurobi-mip,,6106,9024,386.82541139599925,5.122450313996524,386.81617086600454,,545,heuristic,478,True,478.0,0.0,OK
JSPPR_2_8x4.txt,gurobi,8,4,32,gurobi-mip,,8488,12574,3605.377015115999,5.1862447960011195,3605.138524629001,,689,heuristic,644,False,513.0,0.20341614906832298,OK
JSPPR_2_9x4.txt,gurobi,9,4,36,gurobi-mip,,10298,15275,3605.4061807290127,,,,745,heuristic,,False,530.0,,FAILED
JSPPR_3_10x4.txt,gurobi,10,4,40,gurobi-mip,,13642,20255,3605.4441681789904,,,,711,heuristic,,False,460.0,,FAILED
JSPPR_3_4x4.txt,gurobi,4,4,16,gurobi-mip,,2262,3308,11.325186653004494,5.04645774000528,5.046661129999848,,352,heuristic,343,True,343.0,0.0,OK
JSPPR_3_5x4.txt,gurobi,5,4,20,gurobi-mip,,3808,5600,3605.5982078970046,5.075145227005123,3605.0573795630044,,499,heuristic,462,False,390.0,0.15584415584415584,OK
JSPPR_3_6x4.txt,gurobi,6,4,24,gurobi-mip,,5050,7449,3605.8,5.40367954300018,3605.371808857002,,516,heuristic,485,False,442.0,0.088659793814433,OK
JSPPR_3_7x4.txt,gurobi,7,4,28,gurobi-mip,,6712,9919,3605.261577476005,5.141109415999381,3605.1014472840034,,594,heuristic,523,False,502.0,0.040152963671128104,OK
JSPPR_3_8x4.txt,gurobi,8,4,32,gurobi-mip,,8784,13005,3605.54100213699,5.178421917997184,3605.1326735929906,,592,heuristic,552,False,522.0,0.05434782608695652,OK
JSPPR_3_9x4.txt,gurobi,9,4,36,gurobi-mip,,10980,16277,3605.3999328350037,5.22146658100246,3605.1641582230077,,703,heuristic,686,False,475.0,0.3075801749271137,OK
JSPPR_4_10x4.txt,gurobi,10,4,40,gurobi-mip,,16444,24478,3605.3734198389866,5.364514460001374,3605.264535633003,,1995,heuristic,1876,False,387.0,0.7937100213219617,OK
JSPPR_4_4x4.txt,gurobi,4,4,16,gurobi-mip,,1736,2550,5.314141074981308,5.285301797004649,5.285504853993189,,297,heuristic,297,True,297.0,0.0,OK
JSPPR_4_5x4.txt,gurobi,5,4,20,gurobi-mip,,3012,4440,119.16290539799957,5.063990007009124,119.1516520550067,,362,heuristic,332,True,332.0,0.0,OK
JSPPR_4_6x4.txt,gurobi,6,4,24,gurobi-mip,,4366,6450,3605.8296043270093,5.092837445990881,3605.074967294,,431,heuristic,428,False,329.0,0.23130841121495327,OK
JSPPR_4_7x4.txt,gurobi,7,4,28,gurobi-mip,,5856,8662,3605.105448018003,5.1259051600063685,3605.0963719319843,,482,heuristic,395,False,394.00000000000006,0.0025316455696201092,OK
JSPPR_4_8x4.txt,gurobi,8,4,32,gurobi-mip,,8038,11913,3605.461531339999,5.165614314988488,3605.1252228049852,,613,heuristic,583,False,401.0,0.31217838765008576,OK
JSPPR_4_9x4.txt,gurobi,9,4,36,gurobi-mip,,10170,15090,3605.678908700007,5.214111595007125,3605.162162662018,,743,heuristic,733,False,445.0,0.39290586630286495,OK
JSPPR_5_10x4.txt,gurobi,10,4,40,gurobi-mip,,13850,20560,3605.407661028992,5.299979612987954,3605.2128112280043,,665,heuristic,637,False,465.00000000000006,0.2700156985871271,OK
JSPPR_5_4x4.txt,gurobi,4,4,16,gurobi-mip,,1978,2888,5.068500124994898,5.044399639999028,5.044603337999433,,318,heuristic,318,True,318.0,0.0,OK
JSPPR_5_5x4.txt,gurobi,5,4,20,gurobi-mip,,3266,4798,3605.144935001008,214.5397400710208,3605.053961255995,,350,heuristic,350,False,349.0,0.002857142857142857,OK
JSPPR_5_6x4.txt,gurobi,6,4,24,gurobi-mip,,5242,7731,3605.666301824007,5.110849424992921,3605.0825930709834,,485,heuristic,473,False,396.0,0.16279069767441862,OK
JSPPR_5_7x4.txt,gurobi,7,4,28,gurobi-mip,,6498,9599,3605.1115358670068,5.13727900601225,3605.1028002889943,,490,heuristic,429,False,428.0,0.002331002331002331,OK
JSPPR_5_8x4.txt,gurobi,8,4,32,gurobi-mip,,8866,13128,3605.448114913015,5.202141567016952,3605.147287830012,,608,heuristic,534,False,432.0,0.19101123595505617,OK
JSPPR_5_9x4.txt,gurobi,9,4,36,gurobi-mip,,10924,16193,3605.380732514983,,,,619,heuristic,,False,406.0,,FAILED
