instance,jobs,machines,operations,cplex_milp_makespan,grasp_els_makespan,consistent
JSPPR_1_10x4.txt,10,4,40,2458,609,True
JSPPR_1_4x4.txt,4,4,16,300,300,True
JSPPR_1_5x4.txt,5,4,20,344,344,True
JSPPR_1_6x4.txt,6,4,24,436,436,True
JSPPR_1_7x4.txt,7,4,28,456,456,True
JSPPR_1_8x4.txt,8,4,32,1754,485,True
JSPPR_1_9x4.txt,9,4,36,1201,579,False
JSPPR_2_10x4.txt,10,4,40,2717,653,True
JSPPR_2_4x4.txt,4,4,16,475,475,True
JSPPR_2_5x4.txt,5,4,20,447,447,True
JSPPR_2_6x4.txt,6,4,24,521,521,True
JSPPR_2_7x4.txt,7,4,28,478,478,True
JSPPR_2_8x4.txt,8,4,32,1881,579,True
JSPPR_2_9x4.txt,9,4,36,2233,643,True
JSPPR_3_10x4.txt,10,4,40,2289,588,True
JSPPR_3_4x4.txt,4,4,16,298,298,False
JSPPR_3_5x4.txt,5,4,20,374,374,False
JSPPR_3_6x4.txt,6,4,24,459,459,False
JSPPR_3_7x4.txt,7,4,28,495,495,False
JSPPR_3_8x4.txt,8,4,32,527,527,False
JSPPR_3_9x4.txt,9,4,36,2018,558,False
JSPPR_4_10x4.txt,10,4,40,,680,True
JSPPR_4_4x4.txt,4,4,16,297,297,True
JSPPR_4_5x4.txt,5,4,20,332,332,True
JSPPR_4_6x4.txt,6,4,24,418,418,True
JSPPR_4_7x4.txt,7,4,28,395,395,True
JSPPR_4_8x4.txt,8,4,32,1588,487,True
JSPPR_4_9x4.txt,9,4,36,2136,639,True
JSPPR_5_10x4.txt,10,4,40,2442,593,True
JSPPR_5_4x4.txt,4,4,16,318,318,True
JSPPR_5_5x4.txt,5,4,20,350,350,True
JSPPR_5_6x4.txt,6,4,24,473,437,True
JSPPR_5_7x4.txt,7,4,28,429,429,True
JSPPR_5_8x4.txt,8,4,32,696,468,True
JSPPR_5_9x4.txt,9,4,36,1868,506,True
